num of runs,input 1,input 2,Objective
1,2.04,1.82,"[5.9816, -2.0076]"
1,1.5,2.28,"[4.529999999999999, -1.4216000000000002]"
1,5.23,1.39,"[28.742900000000006, -4.857900000000001]"
1,0.03,-4.47,"[-4.4691, 41.83089999999999]"
1,0.56,-3.75,"[-3.4364, 32.5025]"
1,0.26,-5.66,"[-5.5924000000000005, 58.415600000000005]"
1,3.0,2.75,"[11.75, -2.4375]"
1,3.56,0.97,"[13.643600000000001, -2.4991000000000003]"
1,4.68,2.82,"[24.722399999999997, -4.0076]"
1,4.88,2.56,"[26.374399999999998, -4.5664]"
1,6.91,2.64,"[50.3881, -6.5004]"
1,6.77,1.03,"[46.862899999999996, -5.8290999999999995]"
1,6.53,3.24,"[45.880900000000004, -4.9924]"
1,0.16,2.62,"[2.6456, 0.22440000000000013]"
1,-0.64,-2.21,"[-1.8004, 18.3641]"
1,-0.71,-0.44,"[0.06409999999999999, 6.6636]"
1,0.8,-1.66,"[-1.0199999999999998, 12.595600000000001]"
1,-1.02,-7.93,"[-6.8896, 99.6249]"
1,3.75,1.09,"[15.1525, -2.9219]"
1,-0.65,-1.58,"[-1.1575, 13.4664]"
1,1.06,0.75,"[1.8736000000000002, 0.5025]"
1,-0.61,1.32,"[1.6921, 1.0724]"
1,-0.3,1.05,"[1.1400000000000001, 1.2025]"
1,1.37,-0.76,"[1.1169000000000002, 6.2475999999999985]"
1,9.86,0.85,"[98.06959999999998, -8.5375]"
1,8.11,3.24,"[69.01209999999999, -6.572399999999999]"
1,8.11,3.24,"[69.01209999999999, -6.572399999999999]"
1,8.11,3.24,"[69.01209999999999, -6.572399999999999]"
1,0.75,-1.02,"[-0.4575, 8.3704]"
1,0.84,-0.88,"[-0.1744000000000001, 7.4544]"
1,1.03,2.73,"[3.7908999999999997, -0.4971000000000001]"
1,0.28,-3.14,"[-3.0616000000000003, 26.139600000000005]"
1,2.9,0.99,"[9.4, -1.8799]"
1,2.05,2.73,"[6.932499999999999, -1.5171]"
1,1.48,2.94,"[5.1304, -0.5964]"
1,1.84,2.73,"[6.115600000000001, -1.3071000000000002]"
1,1.82,2.74,"[6.0524000000000004, -1.2723999999999998]"
1,2.26,0.91,"[6.017599999999999, -1.0719]"
1,-0.86,-4.75,"[-4.0104, 46.4225]"
1,1.11,-4.33,"[-3.0979, 38.9589]"
1,0.55,-5.74,"[-5.4375, 59.357600000000005]"
1,0.55,-5.74,"[-5.4375, 59.357600000000005]"
1,9.46,0.23,"[89.72160000000002, -6.327100000000001]"
1,-1.67,-6.94,"[-4.1511000000000005, 81.59360000000002]"
1,4.22,0.7,"[18.508399999999998, -2.5299999999999994]"
